season,weeks,edr,edr_final
1,3,0.0,0.0
2,7,0.14285714285714285,0.0
3,7,0.2857142857142857,0.0
4,8,0.0,0.0
5,9,0.1111111111111111,0.0
6,8,0.0,0.0
7,8,0.0,0.0
8,9,0.0,0.0
9,9,0.3333333333333333,1.0
10,7,0.14285714285714285,0.0
11,9,0.1111111111111111,0.0
12,8,0.0,0.0
13,9,0.1111111111111111,0.0
14,8,0.25,1.0
15,7,0.0,
16,8,0.125,0.0
17,9,0.1111111111111111,0.0
18,7,0.14285714285714285,0.0
19,10,0.1,0.0
20,8,0.25,0.0
21,7,0.14285714285714285,1.0
22,7,0.2857142857142857,
23,9,0.1111111111111111,0.0
24,8,0.25,1.0
25,7,0.2857142857142857,0.0
26,3,0.3333333333333333,
27,7,0.42857142857142855,
28,7,0.42857142857142855,
29,9,0.3333333333333333,
30,8,0.375,
31,9,0.3333333333333333,
32,9,0.2222222222222222,
33,6,0.3333333333333333,
34,8,0.125,
